productID,userid,opinion_lexicon_withoutSW_DT_IN,nltk_withoutSW_DT_IN,afinn_withoutSW_DT_IN,afinn_handling_negation,final score
B003AI2VGA,A141HP4LYPWMSR,-1,1,1,0,1
B003AI2VGA,A328S9RN3U5M68,-1,-1,-1,-1,-1
B003AI2VGA,A1I7QGUDP043DG,-1,-1,-1,-1,-1
B003AI2VGA,A1M5405JH9THP9,-1,-1,-1,-1,-1
B003AI2VGA,ATXL536YX71TR,-1,-1,-1,-1,-1
B003AI2VGA,A3QYDL5CDNYN66,0,-1,-1,-1,-1
B003AI2VGA,AQJVNDW6YZFQS,-1,-1,-1,-1,-1
B00006HAXW,AD4CDZK7D31XP,1,1,1,1,1
B00006HAXW,A3Q4S5DFVPB70D,1,1,1,1,1
B00006HAXW,A2P7UB02HAVEPB,1,1,1,1,1
B00006HAXW,A2TX99AZKDK0V7,1,1,1,1,1
B00006HAXW,AFC8IKR407HSK,1,1,1,1,1
B00006HAXW,A1FRPGQYQTAOR1,1,1,1,1,1
B00006HAXW,A1RSDE90N6RSZF,1,1,1,1,1
B00006HAXW,A1OUBOGB5970AO,0,1,-1,1,1
B00006HAXW,A3NPHQVIY59Y0Y,1,1,1,1,1
B00006HAXW,AFKMBAY28XO8A,1,1,1,1,1
B00006HAXW,A66KMXH9V7OGU,1,1,1,1,1
B00006HAXW,AFJ27ZV9183B8,1,1,1,1,1
B00006HAXW,AXMKAXC0TR9AW,1,1,1,1,1
B00004CQT3,A34KFDQ5KBHZA5,1,-1,1,1,1
B00004CQT3,A1CIW2OEVAJRM2,1,1,1,1,1
B00004CQT3,A1VJCDRXUQVXBM,1,1,1,1,1
B00004CQT3,A2IMLPUXYQJTSY,-1,1,1,1,1
B00004CQT3,A1D12NAC1U12F0,-1,1,1,-1,-1
B00004CQT3,A3RVH9HUN9J4LZ,1,1,1,1,1
B00004CQT3,AH7ZNGM8WOOGN,1,1,1,1,1
B00004CQT3,A2582KMXLK2P06,-1,1,1,1,1
B00004CQT3,A1J50B4K22D93F,0,1,1,-1,1
B00004CQT3,A2DLKD4AC5JV5Q,1,1,1,1,1
B00004CQT3,A8DDTUL8OWFMO,1,1,1,1,1
B00004CQT3,A174WE983H06N4,1,1,1,1,1
B00004CQT3,ASES4LU7WKYC,1,-1,0,0,0
B00004CQT3,A3N27L13CWJ9HY,0,1,1,1,1
B00004CQT3,A2H5D7IK9SF07M,1,1,1,1,1
B00004CQT3,A2URPOBDQK3WG,1,1,1,1,1
B00004CQT3,A2TTVV34NLMZI8,1,1,1,1,1
B00004CQT3,A7LRQFZW3D9NE,1,1,1,1,1
B00004CQT3,A2R1VN4J5L2ZCO,1,1,1,1,1
B00004CQT3,A2I6MHMAZZDCRX,1,1,1,1,1
B00004CQT3,A3GX0UO7XXZST2,1,1,1,1,1
B00004CQT3,A2942G3FDOIM18,1,1,1,1,1
B00004CQT3,A11L5M4MJP00UW,1,1,1,1,1
B00004CQT3,A2VDM3D712BGLE,-1,-1,-1,-1,-1
B00004CQT4,A1NN07FHTQZZ6K,-1,1,1,1,1
B00004CQT4,A245OASCPKPJHC,1,1,1,1,1
B00004CQT4,AVQRC2N2SSSYS,1,1,1,1,1
B00004CQT4,A2ON9S58W4AZ1Z,1,1,1,1,1
B00004CQT4,A3IG9WGCIHPJ6X,-1,-1,1,-1,-1
B006JIUN2W,A44YJ6ZLTMAR6,1,1,1,1,1
B0078V2LCY,A27H9DOUGY9FOS,-1,1,1,1,1
B0078V2LCY,A39M64IZTC04G0,0,-1,0,1,0
B003ZG3GAM,ATK3QFC6L1318,1,1,1,1,1
B004BH1TN0,AWPODHOB4GFWL,1,1,1,1,1
B004BH1TN0,A1R6DF0KOJ0TG6,1,1,1,1,1
B004BH1TN0,A9Q28YTLYREO7,1,1,1,1,1
B004BH1TN0,AVV8PPI6BDKVA,1,1,1,1,1
B004BH1TN0,A14HV65O34S8EF,-1,1,-1,1,-1
B004BH1TN0,A39I79H1A2A8C3,-1,1,1,1,1
B004BH1TN0,A2M4H4R4Z7UDZX,1,1,1,1,1
B004BH1TN0,A2WFI5XFB7NHHJ,1,1,1,1,1
B004BH1TN0,AUQW6UEZFC7B2,1,1,1,1,1
B0071AD95K,AA72A0AYTWV5Y,1,1,1,1,1
B0071AD95K,A13NO1WIGJZUV4,1,1,1,1,1
B0071AD95K,AOIT2QUH8GRGA,1,1,1,1,1
B0071AD95K,A2D595HNMO9PHR,-1,-1,1,1,-1
B0071AD95K,A3ENN12GLNTUAF,1,1,1,1,1
B0071AD95K,A2OKCS5234ZV7S,1,1,1,1,1
B0071AD95K,A1MXSUEA3ZK5UZ,0,1,1,1,1
B0071AD95K,A31YQQYX9PU04Z,1,1,1,1,1
B0071AD95K,A2BTR8ZO8MB01D,1,1,1,1,1
B000063W1R,A29DLKCN8QWO7B,1,1,1,1,1
B000063W1R,A295JWKTJLM7YT,1,1,1,1,1
B000063W1R,A1M3W0ROKC7F3C,1,1,1,1,1
B000063W1R,A2M2O1DI1SCQDI,1,1,1,1,1
B000063W1R,A2IOMS4TK2QSFW,1,1,1,1,1
B000063W1R,A2YWH9COGWT8VU,1,1,1,1,1
B000063W1R,A3QIEISBZP4QTV,1,1,1,1,1
B000063W1R,A17RUD7RKGZUA4,1,1,1,1,1
B000063W1R,A18758S1PUYIDT,1,1,1,1,1
B000063W1R,A2UFG3DMVELP6I,1,1,1,1,1
B000063W1R,A4FBBS25X3XEL,1,1,1,1,1
B000063W1R,A23Q1T4MXZHFM7,1,1,1,1,1
B000063W1R,ANZNLFBN62YKH,1,1,1,1,1
B000063W1R,A2FX6OHBMQ9545,1,1,1,-1,1
B000063W1R,A1MIFONBFK8OWE,1,1,1,1,1
B000063W1R,A1DZ4MTJY8LAVG,1,1,1,1,1
B000063W1R,A3NNR95R50VB4W,1,1,1,1,1
B000063W1R,A19O5ETNRJN39D,-1,1,1,1,1
B000063W1R,AMEJTGF5NQLNH,0,1,1,0,0
B000063W1R,A1DDVFGUC6NQD3,1,1,1,0,1
B000063W1R,A36SSF310LBGSE,1,1,1,1,1
B000063W1R,A63FDY7VFOMQV,1,1,1,1,1
B000063W1R,A3R95JCH1K9R0S,1,1,1,1,1
B000063W1R,A2IT3899H776LW,1,1,1,1,1
B000063W1R,A3NWP0SFAC0ZD2,1,1,1,1,1
B000063W1R,A1AFHYBINSG7PH,1,1,1,1,1
B000063W1R,A3N2MVBI1A2I9Y,1,1,1,1,1
B000063W1R,A3VP6XR88INLRB,1,1,1,1,1
B000063W1R,A355WMP0CQBJFX,1,1,1,1,1
B000063W1R,A2CU4L3OK00M23,0,1,-1,1,1
B000063W1R,A41I67QYRAOSQ,1,1,1,1,1
B000063W1R,A1XY417YALQB6G,1,1,1,1,1
B000063W1R,A2PNB2HQTF51UE,1,1,1,1,1
B000063W1R,ATQDMCZ904Y4W,1,1,1,1,1
B000063W1R,A1IJINKEDO8E8A,1,1,1,-1,1
B000063W1R,AQ8DU6XVA3USJ,1,1,1,1,1
B000063W1R,A1ICAVFAYAJDUP,1,1,1,1,1
B000063W1R,ALX2RTJW3NF0O,1,1,1,1,1
B000063W1R,A1KPXFWEB2TLGR,1,1,1,1,1
B000063W1R,A2M6FIWDCDWDVM,1,1,1,1,1
B000063W1R,A3QEBUBAQHE4DI,-1,-1,-1,-1,-1
B000063W1R,A3AE7GKA6NF3ML,1,1,1,1,1
B000063W1R,A1FBZRYTAA6O1Z,1,1,1,1,1
B000063W1R,A2FEGRJQNU51P9,1,1,1,1,1
B000063W1R,A18XYPKYS15YBP,0,1,1,1,1
B000063W1R,A1EMDSTJDUE6B0,1,1,1,1,1
B000063W1R,A7FMCZZVFHRLW,1,1,1,1,1
B000063W1R,A861XPXU3SH9M,1,1,1,1,1
B000063W1R,A2H3SK7N5T2ASO,1,1,1,1,1
B000063W1R,A15BHBF0L0HV1F,1,1,1,1,1
B000063W1R,A1748KGXK92TXY,1,1,1,1,1
B000063W1R,A1LG64CVEGG5NT,1,1,1,1,1
B000063W1R,A3EIH6UL4N0YW,1,1,1,1,1
B000063W1R,A3TBQJ5HEV51ZC,1,1,1,1,1
B000063W1R,A1A19C00QZVRTK,1,1,1,1,1
B000063W1R,A2DPL3M7VU1GYZ,1,1,1,0,1
B000063W1R,A100Y8WSLFJN7Q,1,1,1,1,1
B000063W1R,A17WER66R17JEF,1,1,1,1,1
B000063W1R,A2198FZZMTJ38H,1,1,1,1,1
B000063W1R,A328S9RN3U5M68,1,1,1,1,1
B000063W1R,A2V3P1XE33NYC3,1,1,1,1,1
B000063W1R,A3L2U581LL17EB,1,1,1,1,1
B000063W1R,A1Z9OQG9GZ26X2,1,1,1,1,1
B000063W1R,A28ILXH590CMRJ,1,1,1,1,1
B000063W1R,A2VOIE123XM7T5,1,1,1,1,1
B000063W1R,ADX5JX5LKLC22,1,1,1,1,1
B000063W1R,AA09N6UF7K8AC,1,1,1,1,1
B000063W1R,A13TO1ZFAH9SVN,1,1,1,1,1
B000063W1R,AWR2BFHVWHKXT,1,1,1,1,1
B000063W1R,A1NHXG2NDI7MXG,1,1,1,1,1
B000063W1R,A1VE2B3RHJQZHM,1,1,1,1,1
B000063W1R,AM3W8N7L2AWFF,1,1,1,1,1
B000063W1R,A17JY4CJX89PQD,1,1,1,1,1
B000063W1R,A478YKPNCTUSI,1,1,1,1,1
B000063W1R,ANGAFKOX9IG3W,1,1,0,0,0
B000063W1R,A2W41HPK58KR10,1,1,1,1,1
