id,opinion_lexicon,nltk,afinn,final_score
A141HP4LYPWMSR,-1,1,1,1
A328S9RN3U5M68,-1,-1,-1,-1
A1I7QGUDP043DG,-1,-1,-1,-1
A1M5405JH9THP9,-1,-1,-1,-1
ATXL536YX71TR,-1,-1,-1,-1
A3QYDL5CDNYN66,0,-1,-1,-1
AQJVNDW6YZFQS,-1,-1,-1,-1
AD4CDZK7D31XP,1,1,1,1
A3Q4S5DFVPB70D,1,1,1,1
A2P7UB02HAVEPB,1,1,1,1
A2TX99AZKDK0V7,1,1,1,1
AFC8IKR407HSK,1,1,1,1
A1FRPGQYQTAOR1,1,1,1,1
A1RSDE90N6RSZF,1,1,1,1
A1OUBOGB5970AO,0,1,-1,0
A3NPHQVIY59Y0Y,1,1,1,1
AFKMBAY28XO8A,1,1,1,1
A66KMXH9V7OGU,1,1,1,1
AFJ27ZV9183B8,1,1,1,1
AXMKAXC0TR9AW,1,1,1,1
A34KFDQ5KBHZA5,1,1,1,1
A1CIW2OEVAJRM2,1,1,1,1
A1VJCDRXUQVXBM,1,1,1,1
A2IMLPUXYQJTSY,-1,1,1,1
A1D12NAC1U12F0,-1,1,1,1
A3RVH9HUN9J4LZ,1,1,1,1
AH7ZNGM8WOOGN,1,1,1,1
A2582KMXLK2P06,-1,1,1,1
A1J50B4K22D93F,0,1,1,1
A2DLKD4AC5JV5Q,1,1,1,1
A8DDTUL8OWFMO,1,1,1,1
A174WE983H06N4,1,1,1,1
ASES4LU7WKYC,1,-1,0,0
A3N27L13CWJ9HY,0,1,1,1
A2H5D7IK9SF07M,1,1,1,1
A2URPOBDQK3WG,1,1,1,1
A2TTVV34NLMZI8,1,1,1,1
A7LRQFZW3D9NE,1,1,1,1
A2R1VN4J5L2ZCO,1,1,1,1
A2I6MHMAZZDCRX,1,1,1,1
A3GX0UO7XXZST2,1,1,1,1
A2942G3FDOIM18,1,1,1,1
A11L5M4MJP00UW,1,1,1,1
A2VDM3D712BGLE,-1,-1,-1,-1
A1NN07FHTQZZ6K,-1,1,1,1
A245OASCPKPJHC,1,1,1,1
AVQRC2N2SSSYS,1,1,1,1
A2ON9S58W4AZ1Z,1,1,1,1
A3IG9WGCIHPJ6X,-1,1,1,1
A44YJ6ZLTMAR6,1,1,1,1
